2010,score 2010,2011,score 2011,2012,score 2012,2013,score 2013,2014,score 2014,2015,score 2015,2016,score 2016,2017,score 2017,2018,score 2018,2019,score 2019,2020,score 2020,2021,score 2021,2022,score 2022
FAIL,610,FAIL,387,HOLLANDE,103,MARIAGEPOURTOUS,46,AFP,7,PARIS,315,PARIS,141,MACRON,138,MACRON,143,GILETSJAUNES,157,COVID19,208,COVID19,94,TWITCH,430
EMPLOIS,138,SACHEZLE,197,FH2012,87,SS7,36,DIEUDONNÉ,5,MARÉE,241,MARÉE,92,FILLON,66,GILETSJAUNES,49,MACRON,125,CORONAVIRUS,119,TWITCH,39,MACRON,318
SS4,133,JEUDICONFESSION,185,SARKOZY,87,SCORPION,34,HOLLANDE,4,FRANCE,130,TEAMOL,50,AFP,33,BENALLA,33,PARIS,29,MACRON,90,PASSSANITAIRE,35,FRANCE,282
JEUDICONFESSION,126,EMPLOI,169,JEUDICONFESSION,36,PSG,29,IMMOBILIER,3,BOOBA,99,PSG,45,PSG,32,FIERSDETREBLEUS,24,CALENDRIERDELAVENTCDISCOUNT,25,CONFINEMENT,44,FRANCE,28,NUPES,238
MEDIA,106,SS5,145,EMPLOI,31,CANCER,22,SOLDES,3,COP21,28,EURO2016,39,PRESIDENTIELLE2017,27,CALENDRIERDELAVENTCDISCOUNT,21,CANICULE,17,PARIS,32,MACRON,27,NOWPLAYING,202
GLAM,62,CIV2010,68,UMP,31,TPMP,20,DASSAULT,2,TEAMOM,27,FRANCE,35,FIFA18,17,CM2018,21,BENALLA,11,RETRAITES,26,CALENDRIERCDISCOUNT,25,PARIS,185
REGIONALES,61,DSK,64,PSG,27,MANIFPOURTOUS,18,BALLONDOR,2,SS9,20,AFP,29,PS4,16,SOLDES2018,20,LREM,10,PS5,25,NOWPLAYING,24,LEGISLATIVES2022,166
RETRAITES,60,FRENCHREVOLUTION,61,AFP,24,HOLLANDE,18,HAPPYNEWYEAR,1,DALS,11,BOOBA,27,TEAMOM,16,PS4PRO,19,ROUEN,9,CALENDRIERDELAVENT,25,TOKYO2020,22,UKRAINE,163
SACHEZLE,44,ONPC,60,FREEMOBILE,24,AFP,17,BONNEANNEE,1,REMIX,11,POKEMONGO,26,LENOËLDECDISCOUNT,15,JEPEUXPASJAISOLDES,19,BAC2019,9,COVID_19,20,JEUXOLYMPIQUES,19,TEAMOM,131
EMPLOI,43,RUGBY,59,JO2012,22,DIRECTAN,15,BEJISA,1,OFF,10,TEAMOM,25,BOURDINDIRECT,15,CDISCOUNTDAYS,16,DL1,9,COVIDー19,20,EURO2020,19,PRESIDENTIELLE2022,81
